State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Unknown Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Unknown Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Unknown,Count People Primary Unknown Booster Pfizer,Count People Primary Unknown Booster Moderna,Count People Primary Unknown Booster J&J,Count People Primary Unknown Booster Unknown,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Unknown,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Unknown,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Unknown,Percent People Primary Unknown Booster Pfizer,Percent People Primary Unknown Booster Moderna,Percent People Primary Unknown Booster J&J,Percent People Primary Unknown Booster Uknown
South Carolina,8029425,155950,198870,5875164,114109,5554233,137565,3005191,58.4,2826646,70,2600153,50.5,2455105,60.8,4297905,3340320,391200,0,194459,2262031,3416910,1764,962398,1450645,186801,309,960398,1308188,186212,307,2426639,58.4,2826646,70,47.1,2282173,56.5,3005191,892469,95.2,782192,83.5,332766,419804,29437,185,1916746,204557,856908,2995167,67.8,2597292,58.8,962312,1447914,186757,309,5862460,132636,181662,383598,14.8,383240,15.6,331510,22.6,259331,33.2,115840,262820,4704,234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Dakota,1423135,160868,213185,1072848,121272,1006420,150761,560367,63.3,522792,78.3,473252,53.5,444871,66.6,763635,581900,77600,0,34541,424638,613532,137,183350,255812,34067,23,183287,227520,34041,23,441149,63.3,522792,78.3,49.9,412791,61.8,560367,158930,99.9,135930,89.5,67882,63437,4596,15,330669,217730,937068,559994,75.9,473235,64.1,183348,255800,34064,23,1072466,145301,192810,77958,16.5,77901,17.5,64921,25.6,48190,35.5,28634,48664,659,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tennessee,9675300,141676,181897,7731027,113206,7348391,138150,3770325,55.2,3564783,67,3324908,48.7,3155630,59.3,5455140,3776260,443900,0,224241,2941089,4529038,36659,1220173,1883794,211939,9002,1219661,1715375,211672,8922,3130518,55.2,3564783,67,45.8,2961452,55.7,3770325,1006001,88,922762,80.7,456445,427550,33896,4871,2338768,204546,846192,3769357,64.6,3324702,57,1220151,1883660,211892,8999,7729946,132463,165799,542733,16.3,541783,17.2,446771,24.9,327549,35.5,195927,340718,4797,1291,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,46851965,161581,216947,35420138,122156,32578783,150855,17964830,62,16443453,76.1,15607087,53.8,14375127,66.6,26892525,17666140,2293300,0,1318273,13384519,20714710,2636,5681596,8716524,1208667,300,5677625,7489995,1207225,282,14472689,62,16443453,76.1,49.9,13242112,61.3,17964830,3404554,91.2,3066541,82.1,1463777,1435199,167455,110,7584704,203113,1254660,17945472,74.5,15604768,64.7,5681046,8715033,1208390,299,35398298,146874,194398,1978094,12.7,1974028,13.7,1514451,22.3,996857,32.5,807928,1151435,18671,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,4646560,144935,204265,3834548,119607,3481321,153040,1984656,61.9,1796582,79,1744954,54.4,1584240,69.6,2759760,1675500,211300,0,156108,1384348,2293804,288,607531,985464,151950,9,607135,825322,151774,9,1602487,61.9,1796582,79,50,1441932,63.4,1984656,357182,97.6,319881,87.4,136208,167747,15925,1,794922,217268,1270000,1983918,76.5,1744612,67.3,607496,985192,151915,9,3833515,147883,179248,204534,11.7,204058,12.9,160217,24,119692,37.4,53361,149385,1787,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virginia,14765625,172990,221219,12193394,142855,11281192,169015,6167562,72.3,5678601,85.1,5440897,63.7,5032203,75.4,8653065,5443260,669300,0,428594,4365027,7392834,6939,1880084,3148707,409404,2702,1874521,2747328,407824,2530,5079701,72.3,5678601,85.1,59.5,4672569,70,6167562,1346559,99.1,1196921,88.1,559931,566761,69383,846,2962217,217985,1086580,6124484,83.8,5428754,74.3,1879914,3136874,409270,2696,12136377,166093,202076,814988,15,814068,16.2,645637,25.3,453564,37.9,302399,502402,10029,158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Veterans Health,7058620,N/A,N/A,6207810,N/A,6204734,N/A,3142660,N/A,3140927,N/A,2872593,N/A,2871224,N/A,3095040,3387880,575700,0,224906,3099017,2883607,280,1410833,1240131,221619,10,1410773,1238862,221579,10,2655937,N/A,3140927,N/A,0,2654606,0,3142660,1574446,0,1473594,0,805401,595176,73016,1,3296680,0,0,3142556,0,2872519,0,1410811,1240086,221612,10,6207637,0,0,405910,14.1,405905,14.1,390546,17.2,318001,21.6,144990,258418,2502,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Islands,122360,115119,150122,111442,104847,105977,130022,56504,53.2,53521,65.7,49688,46.7,47232,57.9,88020,32540,1800,0,1576,29884,79982,0,13173,35003,1508,4,13146,32580,1502,4,48202,53.2,53521,65.7,45.3,45752,56.1,56504,15394,75.2,13886,67.8,5143,8281,458,4,31028,151519,597519,56414,63.1,49660,55.5,13165,34986,1505,4,111326,124491,136830,4052,8.2,4049,8.6,3459,12,2342,16.9,1040,2998,14,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vermont,1228810,196928,240951,1028297,164794,964268,189078,504587,80.9,469825,92.1,448060,71.8,418380,82,649350,513460,66000,0,46807,404299,576330,861,167016,236830,43957,257,166965,207292,43883,240,411238,80.9,469825,92.1,65.9,381614,74.8,504587,134827,99.9,122561,98,59069,60919,2421,152,325707,260484,982741,503058,91.3,448013,81.3,167004,236811,43941,257,1026714,186353,223035,101485,22.6,101390,24.2,83508,34.9,60690,49.5,35540,64532,1404,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,13141925,172582,220805,10681348,140269,9980903,167695,5339722,70.1,4973410,83.6,4879793,64.1,4552904,76.5,7514945,4966580,660400,0,422598,4012526,6238206,8018,1774315,2688492,414420,2566,1773585,2362697,414110,2512,4500980,70.1,4973410,83.6,59.1,4174366,70.1,5339722,1171532,96.8,1090575,90.2,497045,536053,56104,1373,2677321,221317,1086360,5338089,82.1,4879500,75.1,1774258,2688287,414391,2564,10679707,164280,202155,753756,15.4,752715,16.5,600833,27.1,437866,40.2,264859,481344,7388,165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,8783485,150856,192796,7615701,130799,7158861,157136,3692451,63.4,3447590,75.7,3420975,58.8,3213101,70.5,5028885,3361800,392800,0,290531,2892224,4431613,1333,1267490,1874685,278332,468,1267163,1667358,278132,448,3166982,63.4,3447590,75.7,54.4,2959279,65,3692451,990112,97.3,937843,92.2,451108,457505,29028,202,2332887,229334,863460,3683315,73.7,3420769,68.4,1267474,1874513,278314,468,7606601,152138,175677,633907,18.5,633366,19.7,509204,27.9,374745,40,191264,437931,4691,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Virginia,3277485,182880,228782,1595904,89050,1521691,106220,882241,49.2,838227,58.5,737000,41.1,705200,49.2,1845825,1294160,137500,0,42338,709447,843669,450,320256,371963,44518,263,319952,340561,44448,239,692925,49.2,838227,58.5,38.7,661189,46.2,882241,297789,81.1,263590,71.8,134075,122531,6875,109,572088,155878,893021,881453,56.6,736697,47.3,320167,371763,44504,263,1594800,102373,210387,48941,6.6,48895,6.9,39848,8.8,28077,10.7,12462,36326,142,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wyoming,784905,135619,176373,595578,102906,565559,127085,299273,51.7,282614,63.5,258081,44.6,244794,55,392925,349980,42000,0,25480,262398,307170,530,108533,125874,23579,95,108514,112631,23556,93,235802,51.7,282614,63.5,40.7,222537,50,299273,87516,88.2,79369,80,40416,35274,3634,45,193417,195018,791402,299207,61,258070,52.6,108532,125866,23577,95,595516,121355,159949,48169,18.7,48100,19.6,40728,28.3,30793,38.8,17835,29866,443,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
